UNK
না
করে
তার
বলল
কি
মুনা
সে
একটা
আছে
কিছু
তো
কথা
হয়
হয়ে
হবে
বকুল
বাকের
আমি
এই
কেন
সঙ্গে
নিয়ে
ভাল
মনে
আমার
নেই
সাহেব
খুব
হচ্ছে
গেল
বললেন
দিয়ে
তুমি
কী
হয়েছে
থেকে
করতে
আর
এক
কিন্তু
বসে
কোনো
বড়
আপা
হল
যে
মামুন
এখন
জন্যে
নাকি
এ
রকম
সময়
করছে
তিনি
যায়
বাবু
চলে
সব
তাকে
ঠিক
ভাই
চা
শওকত
গলায়
আপনি
গেছে
খারাপ
তোমার
কেমন
কোন
মত
এত
আজ
যেন
এসে
ছিল
কাছে
করল
যাবে
আপনার
বলে
ঘরে
আবার
দেখে
বকুলের
কেউ
বলতে
স্বরে
লাগল
যেতে
লাগছে
যাচ্ছে
একা
পর
তুই
বাড়ি
কে
দিকে
আগে
বিয়ে
মুখ
দেখা
এবং
তোর
মুনার
এমন
বল
মধ্যে
দিন
জি
ইচ্ছা
শুধু
কিছুই
থাকে
যা
এটা
রইল
মেয়ে
ব্যাপার
হাত
তা
দিতে
মাথা
একটু
সত্যি
অনেক
গিয়ে
উঠে
দিল
আমাকে
বেশ
লাগে
সেই
কোথায়
বোধ
করা
ধরে
মামা
চোখ
তাকিয়ে
করবে
সাহেবের
কাজ
ও
তাই
বাকেরের
একবার
একটি
হয়নি
সিগারেট
দরকার
পারে
মা
একজন
জাহানারা
অন্য
শুরু
বিরক্ত
রাগ
নয়
মানে
নাম
মুখে
এর
আসবে
দেখতে
জিজ্ঞেস
তাহলে
ভয়
জহির
যদি
টাকা
অবাক
দাঁড়িয়ে
এসেছে
বাড়িতে
শেষ
বাসায়
হলে
চোখে
সবাই
ফেলে
নিজের
এল
বের
রাত
পড়ে
বলবে
এখানে
খবর
পর্যন্ত
ঘর
জবাব
জানি
পাওয়া
ডাক্তার
সুন্দর
স্যার
যাব
থাকবে
ঘুম
অফিসে
মানুষ
খেতে
যান
আসতে
আসছে
আছেন
গল্প
বেশি
মন
ফেলল
ঝামেলা
হাসি
বন্ধ
হুঁ
সামনে
সেটা
জলিল
তখন
বিয়ের
থাকতে
ভালই
আপনাকে
ঐ
বুঝতে
রাতে
তোমাকে
মাঝে
পানি
দেখি
এখনো
জানে
বাবা
দেব
টিনা
হ্যাঁ
যাবার
ভাবে
তারপর
ওপর
করব
ভাবী
রিকশা
মুনাকে
দরজা
আরো
পছন্দ
যখন
হঠাৎ
বই
ছাড়া
পা
আচ্ছা
জ্বর
করার
থাকলে
গম্ভীর
চেষ্টা
বারান্দায়
শরীর
আমাদের
নিশ্চয়ই
তবু
আসে
করেছে
অসুবিধা
লতিফা
শব্দ
খেয়ে
ফিরে
চায়ের
হা
নিচু
শুয়ে
গায়ে
হাতে
যাই
পড়ল
বলা
হাসতে
ছেলে
লোক
নতুন
ভঙ্গিতে
ব্যাপারটা
ঠাণ্ডা
হয়ত
কারণ
বলব
বাড়ির
কত
খুবই
তবে
চুপ
অবস্থা
সিদ্দিক
হাসান
পাশে
দেয়া
নিঃশ্বাস
করবেন
প্রথম
হতে
লোকজন
অবশ্যি
মতো
মিয়া
শাড়ি
বকুলকে
এগিয়ে
পরে
বলছে
হবার
ধরনের
বলছি
গেলে
ধারণা
রে
কবে
দিনের
মানুষের
জোবেদ
ভেতরে
ভাত
মাথায়
দেবে
মেয়ের
অফিস
তেমন
খাবার
কষ্ট
বাবুকে
লক্ষ্য
যাও
মেয়েদের
লাগবে
উচিত
বাইরে
অপেক্ষা
কাজের
তিন
গরম
এনে
ছবি
আছি
ওর
পারল
ছোট
বাজে
নাই
করলে
ছেড়ে
ব্যবস্থা
আগের
চিঠি
দিয়েছে
বলবেন
বসল
কাল
করেন
সহজ
করলেন
ইচ্ছে
পান
গলা
ভয়ে
বলেন
কখনো
কথাটা
তুলে
বলেছে
থাক
সন্ধ্যা
ডেকে
যাওয়া
আলি
করেছেন
কড়া
লাল
দাঁড়াল
দেরি
ভর্তি
কঠিন
চমৎকার
হেসে
ব্যস্ত
সাথে
এসেছি
তারা
কাউকে
অদ্ভুত
লম্বা
কথাবার্তা
ইয়াদ
অন্ধকার
খুলে
বলেই
উঠল
দুটি
টেনে
কাপ
গা
বা
দাও
খানিকক্ষণ
খোঁজ
আমরা
সমস্যা
শুনতে
বমি
দেখল
খাব
আয়
কর
দে
জেগে
ছুটি
বলছেন
কালো
জায়গা
লাগলেন
আগেই
মামুনের
মুশকিল
জায়গায়
অথচ
উকিল
সকাল
একদিন
চায়
আপার
এদের
মেয়েরা
ক্ষীণ
ভাড়া
খাবে
পারছি
বলার
বলুন
কিছুক্ষণ
জিনিস
করছেন
বাতি
রেখে
রোগা
রান্নাঘরে
মাস
গেলেন
রাতের
এসব
এলেন
আনতে
তাদের
প্রায়
হত
রেহানা
মাত্র
পরিষ্কার
তোমাদের
তাঁর
দিলেন
পারব
জন্যেই
করি
পাল
আগ্রহ
বসার
দেখ
কোথাও
তাছাড়া
পারছে
তাকাল
বাবার
তীক্ষ্ণ
লজ্জা
চল
পেয়ে
খাওয়া
রইলেন
ঘুমিয়ে
গত
জহিরের
টাকার
রোজ
রাজি
ভেঙে
শুকনো
হাসল
থাকা
হাসিমুখে
থাকার
ওদের
কারো
ভাইয়ের
নিজে
মৃদু
চাই
স্কুলে
নিজেই
ছেলের
বললাম
ভাব
হালকা
সন্ধ্যার
তাও
সবার
দেখলে
টেলিফোন
বাকেরকে
জানতে
উনি
অল্প
তাতে
ওসি
দুপুরে
মিথ্যা
কিংবা
দীর্ঘ
দিচ্ছে
বাবুর
হোক
করছি
পারবে
পড়তে
বলেনি
আসি
ঢুকে
মেয়েটি
ধরেছে
দিচ্ছি
ছিলেন
এসেছেন
বাচ্চা
দোকানে
বসুন
আজও
মামার
যাবেন
ক্লাস
থাকেন
সেখানে
ঘুমুতে
তোকে
বোঝা
পারেন
অফিসের
বিশ্বাস
ঘরের
পেল
এমনি
এইসব
ধরা
মারা
ভেবে
মুখের
আসুন
মামলা
জাহানারার
ঢুকল
বেলা
ডাকল
চড়
ছোট্ট
এলে
দিলে
